tex_ref,claim,source_csv,filter_expr,value_col,round_dp,manuscript_value
L141,"ICE Q1/Q2 boundary, LA",numeric_results_misc_counts.csv,metric=='ice_quintile_boundary_q1_q2' & city=='LA',value,2,-0.30
L141,"ICE Q1/Q2 boundary, NYC",numeric_results_misc_counts.csv,metric=='ice_quintile_boundary_q1_q2' & city=='NYC',value,2,-0.26
L141,"ICE Q4/Q5 boundary, LA",numeric_results_misc_counts.csv,metric=='ice_quintile_boundary_q4_q5' & city=='LA',value,2,0.21
L141,"ICE Q4/Q5 boundary, NYC",numeric_results_misc_counts.csv,metric=='ice_quintile_boundary_q4_q5' & city=='NYC',value,2,0.20
L166,"NH primary CSI spline edf, LA",numeric_results_misc_counts.csv,metric=='nh_primary_csi_spline_edf' & city=='LA',value,2,1.02
L166,"NH primary CSI spline edf, NYC",numeric_results_misc_counts.csv,metric=='nh_primary_csi_spline_edf' & city=='NYC',value,2,1.02
L129,"Gamma zero-distance reassigned, LA",numeric_results_misc_counts.csv,metric=='gamma_zero_distance_reassigned_n' & city=='LA',value,0,28
L129,"Gamma zero-distance reassigned, NYC",numeric_results_misc_counts.csv,metric=='gamma_zero_distance_reassigned_n' & city=='NYC',value,0,66
L152/166,"NH analytic n, LA",numeric_results_misc_counts.csv,metric=='nh_analytic_sample_n' & city=='LA',value,0,564
L152/166,"NH analytic n, NYC",numeric_results_misc_counts.csv,metric=='nh_analytic_sample_n' & city=='NYC',value,0,1454
L227,NH primary excluded n,numeric_results_misc_counts.csv,metric=='nh_primary_excluded_n' & city=='combined',value,0,1432
L227,NH primary excluded pct,numeric_results_misc_counts.csv,metric=='nh_primary_excluded_pct' & city=='combined',value,1,43.2
L227,NDVI primary excluded pct,numeric_results_misc_counts.csv,metric=='ndvi_primary_excluded_pct' & city=='combined',value,1,9.2
L227,Distance primary excluded pct,numeric_results_misc_counts.csv,metric=='distance_primary_excluded_pct' & city=='combined',value,1,7.3
L221,LA pct tracts > 300m,numeric_results_misc_counts.csv,metric=='la_pct_tracts_over_300m' & city=='LA',value,0,68
L166,"NH excluded, structural no-CBG",nh_exclusion_reason_diagnosis.csv,exclusion_reason=='structural_no_greenspace_cbg_confirmed',__count__,0,1290
L166,"NH excluded, unresolved (LA)",nh_exclusion_reason_diagnosis.csv,is.na(exclusion_reason),__count__,0,4
L166,"NH RR Q25->Q75, LA",numeric_results_quartile_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='LA' & contrast=='Q75_vs_Q25',estimate,2,0.91
L166,"NH RR Q25->Q75, NYC",numeric_results_quartile_contrasts.csv,outcome=='neighbor_visit_count_annual_avg' & city=='NYC' & contrast=='Q75_vs_Q25',estimate,2,0.81
L177,"NDVI diff Q25->Q75, LA",numeric_results_quartile_contrasts.csv,outcome=='NDVI' & city=='LA' & contrast=='Q75_vs_Q25',estimate,3,-0.017
L177,"NDVI diff Q25->Q75, NYC",numeric_results_quartile_contrasts.csv,outcome=='NDVI' & city=='NYC' & contrast=='Q75_vs_Q25',estimate,3,-0.004
L179,"Distance ratio Q25->Q75, LA",numeric_results_quartile_contrasts.csv,outcome=='closest_greenspace' & city=='LA' & contrast=='Q75_vs_Q25',estimate,2,0.99
L179,"Distance ratio Q25->Q75, NYC",numeric_results_quartile_contrasts.csv,outcome=='closest_greenspace' & city=='NYC' & contrast=='Q75_vs_Q25',estimate,2,0.89
L198,"NH RR Q25->Q75, LA ICE Q1",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',irr,2,0.92
L198,"NH RR Q25->Q75, LA ICE Q5",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',irr,2,0.91
L198,"NH edf, NYC ICE Q1",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',edf,2,1.00
L198,"NH edf, NYC ICE Q5",numeric_results_ice_nh_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='NYC',edf,2,4.07
L200,"NDVI Q25->Q75 contrast, LA ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',estimate,3,-0.010
L200,"NDVI Q25->Q75 contrast CI low, LA ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',ci_low_95,3,-0.017
L200,"NDVI Q25->Q75 contrast CI high, LA ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='LA',ci_high_95,3,-0.003
L200,"NDVI Q25->Q75 contrast, LA ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',estimate,3,-0.015
L200,"NDVI Q25->Q75 contrast CI low, LA ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',ci_low_95,3,-0.026
L200,"NDVI Q25->Q75 contrast CI high, LA ICE Q5",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q5 (Most Advantaged)' & city=='LA',ci_high_95,3,-0.004
L200,"NDVI Q25->Q75 contrast, NYC ICE Q1",numeric_results_ice_ndvi_quartile_contrasts.csv,ice_stratum=='Q1 (Most Disadvantaged)' & city=='NYC',estimate,3,-0.013
